imdbID,Title,Year,Cast,Meter,Metacritic,AdjBoxOffice,LeadActor,Gender
tt0244244,Swordfish,2001,"John Travolta, Hugh Jackman, Halle Berry, Don Cheadle",26,32,"$92,452,821",John Travolta,m
tt1536044,Paranormal Activity 2,2010,"David Bierend, Brian Boland, Molly Ephraim, Katie Featherston",58,53,"$92,402,224",David Bierend,m
tt1691917,Planes,2013,"Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher",26,39,"$92,216,138",Dane Cook,m
tt2024469,Non-Stop,2014,"Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery",60,56,"$92,161,893",Liam Neeson,m
tt0360486,Constantine,2005,"Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou",46,50,"$91,986,916",Keanu Reeves,m
tt0279778,Divine Secrets of the Ya-Ya Sisterhood,2002,"Sandra Bullock, Ellen Burstyn, Fionnula Flanagan, James Garner",44,48,"$91,926,629",Sandra Bullock,f
tt0486822,Disturbia,2007,"Shia LaBeouf, Sarah Roemer, Carrie-Anne Moss, David Morse",69,62,"$91,906,857",Shia LaBeouf,m
tt1929263,Heaven Is for Real,2014,"Greg Kinnear, Kelly Reilly, Thomas Haden Church, Connor Corum",46,47,"$91,860,382",Greg Kinnear,m
tt0842675,"Carmo, Hit the Road",2008,"Fele Martínez, Mariana Loureiro, Seu Jorge, Marcio Garcia",29,NA,"$91,734,685",Fele Mart<ed>nez,m
tt0985699,Valkyrie,2008,"Tom Cruise, Kenneth Branagh, Bill Nighy, Tom Wilkinson",62,56,"$91,734,685",Tom Cruise,m
tt1210819,The Lone Ranger,2013,"Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson",31,37,"$91,194,918",Johnny Depp,m
tt1483013,Oblivion,2013,"Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough",54,54,"$90,888,553",Tom Cruise,m
tt4085150,Oblivious,2013,"Pamela Ashton, Jill Marie Craven, Emma Roby",54,NA,"$90,888,553",Pamela Ashton,f
tt2561572,Get Hard,2015,"Will Ferrell, Kevin Hart, Craig T. Nelson, Alison Brie",29,34,"$90,747,811",Will Ferrell,m
tt2869728,Ride Along 2,2016,"Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt",15,32,"$90,500,000",Ice Cube,m
tt2814362,United Passions,2014,"Tim Roth, Sam Neill, Fisher Stevens, Jemima West",0,1,"$90,453,330",Tim Roth,m
tt0433035,Real Steel,2011,"Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie",60,56,"$90,435,609",Hugh Jackman,m
tt0211181,102 Dalmatians,2000,"Glenn Close, Gérard Depardieu, Ioan Gruffudd, Alice Evans",31,35,"$90,359,296",Glenn Close,m
tt1790886,The Campaign,2012,"Will Ferrell, Zach Galifianakis, Jason Sudeikis, Dylan McDermott",64,50,"$90,045,507",Will Ferrell,m
tt2539064,The Campaigner,2012,Joyce Brand,64,NA,"$90,045,507",Joyce Brand,f
tt0375063,Sideways,2004,"Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh",96,94,"$89,919,589",Paul Giamatti,m
tt2446042,Taken 3,2014,"Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace",10,26,"$89,749,804",Liam Neeson,m
tt0478087,21,2008,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo",36,48,"$89,745,258",Jim Sturgess,m
tt0236493,The Mexican,2001,"Brad Pitt, Julia Roberts, James Gandolfini, J.K. Simmons",56,43,"$89,496,481",Brad Pitt,m
tt0463034,"You, Me and Dupree",2006,"Owen Wilson, Kate Hudson, Matt Dillon, Michael Douglas",21,46,"$89,233,567",Owen Wilson,m
tt1570728,"Crazy, Stupid, Love.",2011,"Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone",78,68,"$89,166,337",Steve Carell,m
tt0477080,Unstoppable,2010,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee",86,69,"$89,020,324",Denzel Washington,m
tt0278504,Insomnia,2002,"Al Pacino, Martin Donovan, Oliver 'Ole' Zemen, Hilary Swank",92,78,"$88,884,453",Al Pacino,m
tt1033643,What Happens in Vegas,2008,"Cameron Diaz, Ashton Kutcher, Rob Corddry, Lake Bell",27,36,"$88,640,021",Cameron Diaz,f
tt0448011,Knowing,2009,"Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson",33,41,"$88,592,262",Nicolas Cage,m
tt0489099,Jumper,2008,"Hayden Christensen, Jamie Bell, Rachel Bilson, Diane Lane",16,35,"$88,529,498",Hayden Christensen,m
tt1060277,Cloverfield,2008,"Lizzy Caplan, Jessica Lucas, T.J. Miller, Michael Stahl-David",77,64,"$88,418,974",Lizzy Caplan,f
tt0373926,The Interpreter,2005,"Nicole Kidman, Sean Penn, Catherine Keener, Jesper Christensen",56,62,"$88,331,806",Nicole Kidman,f
tt1217613,Battle Los Angeles,2011,"Aaron Eckhart, Ramon Rodriguez, Will Rothhaar, Cory Hardrict",35,37,"$88,320,156",Aaron Eckhart,m
tt1253864,Immortals,2011,"Henry Cavill, Mickey Rourke, Stephen Dorff, Freida Pinto",35,46,"$88,320,156",Henry Cavill,m
tt1758570,Battle of Los Angeles,2011,"Nia Peeples, Kel Mitchell, Dylan Vox, Theresa June-Tao",35,NA,"$88,320,156",Nia Peeples,f
tt0264472,Changing Lanes,2002,"Ben Affleck, Samuel L. Jackson, Kim Staunton, Toni Collette",77,69,"$88,223,111",Ben Affleck,m
tt1114677,Hannah Montana: The Movie,2009,"Miley Cyrus, Billy Ray Cyrus, Emily Osment, Jason Earles",43,47,"$88,148,746",Miley Cyrus,f
tt1764651,The Expendables 2,2012,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",65,51,"$88,076,733",Sylvester Stallone,m
tt0879870,Eat Pray Love,2010,"Julia Roberts, I. Gusti Ayu Puspawati, Hadi Subiyanto, Billy Crudup",36,50,"$87,929,389",Julia Roberts,f
tt0970416,The Day the Earth Stood Still,2008,"Keanu Reeves, Jennifer Connelly, Kathy Bates, Jaden Smith",21,40,"$87,424,260",Keanu Reeves,m
tt1033575,The Descendants,2011,"George Clooney, Shailene Woodley, Amara Miller, Nick Krause",89,84,"$87,368,202",George Clooney,m
tt0381707,White Chicks,2004,"Shawn Wayans, Marlon Wayans, Jaime King, Frankie Faison",15,41,"$87,023,020",Shawn Wayans,m
tt0311289,Holes,2003,"Sigourney Weaver, Jon Voight, Tim Blake Nelson, Shia LaBeouf",77,71,"$87,017,071",Sigourney Weaver,f
tt0385880,Monster House,2006,"Ryan Newman, Steve Buscemi, Mitchel Musso, Catherine O'Hara",74,68,"$86,990,925",Ryan Newman,m
